handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Product,Trellis in Bloom,"<p><em>Designed by Carlson Craft.</em></p><p>5.75 x 9.25""&nbsp; Beautiful, classic, heavy weight Letterpress invitation oriented horizontally.</p><p>Shown with Fluorescent White or Pearl White 220 lb. stock.</p><p>Shown with Periwinkle Letterpress for Invitation and Enclosures.&nbsp;</p><p>Customize the wording in ink color&nbsp;to match your wedding theme! Add a second ink color!</p><p>Return address on v-flap envelope is Digital print.</p><p>Elevate your invitation with optional&nbsp;printed design&nbsp;Envelope liner.</p><p>Ecru Shimmer is shown as solid color liner or choose to match your ink color.</p><p>Enclosures are priced as 220 lb. matching stock. Lighter weight is available.</p><p>Optional wax seal available in different designs.</p><p>Request&nbsp;change of font or ink color in Special instructions.</p>",506c6a_bbb95daac0594cefa5a330dea182443c~mv2.jpg;506c6a_6c88eef03b014dabb84d2a9afdb4c805~mv2.jpg;506c6a_6558240d81e54f249b2302ada871d868~mv2.jpg;506c6a_90e77275bb804c61974621579b767b0d~mv2.jpg;506c6a_acf8e46072fb4be791c446e763649bb4~mv2.jpg;506c6a_2be84f6fe50a451f8700241f0a41746a~mv2.jpg;506c6a_65ed0acd02ab48abab5664a303d7a62c~mv2.jpg;506c6a_a15f30f4d463479388905d4fffab9552~mv2.jpg;506c6a_48113a69ad2b4a50a7a7635b84c56c48~mv2.jpg;506c6a_5d5f5642370047d1bb2ec2ca31a2ae02~mv2.jpg;506c6a_0c13224769914555b176378675a34220~mv2.jpg;506c6a_5971fd7df1a94adc960da32807e4566f~mv2.jpg;506c6a_8e5d3ec8dbc345d78ce8c15278907eea~mv2.jpg,Wedding,,,0.0,,true,PERCENT,0.0,InStock,0.0,,Item selection,DROP_DOWN,Invitation;+ Ink Color 2;Return address;Envelope liner - Solid color;Envelope liner - Digital;Reception card;Reply set;Wax Seal,Quantity,DROP_DOWN,25;50;75;100;125;150;175;200,,,,,,,,,,,,,,,,,,,,,,,,,Your wording,500,false,Special instructions,500,false,Carlson Craft
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,115.0,true,,,InStock,,,,,+ Ink Color 2,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,85.0,true,,,InStock,,,,,Envelope liner - Digital,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,1325.0,true,,,InStock,,,,,Invitation,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,67.0,true,,,InStock,,,,,Envelope liner - Solid color,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,889.0,true,,,InStock,,,,,Reception card,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,38.0,true,,,InStock,,,,,Return address,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,712.0,true,,,InStock,,,,,Invitation,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,62.0,true,,,InStock,,,,,Wax Seal,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,341.0,true,,,InStock,,,,,Reply set,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
