Handle,Title,Body (HTML),Vendor,Collection,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Bangladesh,Price / Bangladesh,Compare At Price / Bangladesh,Included / International,Price / International,Compare At Price / International,Status
product-01c4f277-5a50-dfb0-446d-ef9b325d06d3,Biking Together,<p><em>Designed by Kramer Drive.</em></p><p>Colors can be customized without charge. Make it your own!</p><p>Request change of font or ink color in Special instructions.</p>,Kramer Drive,Save the date,,,True,Item selection,Invitation,Quantity,30,Size,5 x 7,,0,shopify,100,deny,manual,127.5,,True,True,,https://static.wixstatic.com/media/20972a_e0084c8c3118489b8dab42d58bd7d927~mv2.jpg,1,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
product-01c4f277-5a50-dfb0-446d-ef9b325d06d3,,,,,,,,,Invitation,,30,,5.25 x 7.75,,,,100,deny,manual,135.0,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
product-01c4f277-5a50-dfb0-446d-ef9b325d06d3,,,,,,,,,Invitation,,40,,5 x 7,,,,100,deny,manual,170.0,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
product-01c4f277-5a50-dfb0-446d-ef9b325d06d3,,,,,,,,,Invitation,,40,,5.25 x 7.75,,,,100,deny,manual,180.0,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
product-01c4f277-5a50-dfb0-446d-ef9b325d06d3,,,,,,,,,Invitation,,50,,5.25 x 7.75,,,,100,deny,manual,212.5,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
product-01c4f277-5a50-dfb0-446d-ef9b325d06d3,,,,,,,,,Invitation,,50,,5 x 7,,,,100,deny,manual,200.0,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
product-01c4f277-5a50-dfb0-446d-ef9b325d06d3,,,,,,,,,Invitation,,60,,5.25 x 7.75,,,,100,deny,manual,255.0,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
product-01c4f277-5a50-dfb0-446d-ef9b325d06d3,,,,,,,,,Invitation,,60,,5 x 7,,,,100,deny,manual,240.0,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
product-01c4f277-5a50-dfb0-446d-ef9b325d06d3,,,,,,,,,Invitation,,70,,5 x 7,,,,100,deny,manual,280.0,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
product-01c4f277-5a50-dfb0-446d-ef9b325d06d3,,,,,,,,,Invitation,,70,,5.25 x 7.75,,,,100,deny,manual,297.5,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
